case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
A.M. No. RTJ-06-1974 [Formerly OCA IPI No. 05-2226-RTJ],"CARMEN P. EDA√ëO, COMPLAINANT, VS. JUDGE FATIMA GONZALES-ASDALA AND STENOGRAPHER MYRLA DEL PILAR NICANDRO, RESPONDENTS.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69111,EN BANC,"LOPEZ, M., J.:","ACCORDINGLY, the Petition for Judicial Clemency is PARTIALLY GRANTED. As a measure of mercy and humanitarian consideration, the Court grants former Judge Fatima Gonzales-Asdala her retirement benefits. She is entitled to 25% of her lump-sum benefits and her full pension, subject to the usual clearances.SO ORDERED. Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.Marquez,*** J., no part due to prior participation as Court Administrator.* * On official leave.** Designated Acting Chief Justice per Special Order No. 2989 dated June 24, 2023.*** No part."," Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.Marquez,*** J., no part due to prior participation as Court Administrator.* * On official leave.** Designated Acting Chief Justice per Special Order No. 2989 dated June 24, 2023.*** No part.",OL,C,C,C,C,P,C,C,C,C,C,C,NP,C,C
A.M. No. P-22-058 [Formerly JIB FPI No. 22-087-P],"OFFICE OF THE COURT ADMINISTRATOR, COMPLAINANT, VS. CHARLIBETH P. SICAD, CLERK III, OFFICE OF THE CLERK OF COURT, METROPOLITAN TRIAL COURT, MAKATI CITY, RESPONDENT.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69112,EN BANC,PER CURIAM:,"Accordingly, she is DISMISSED from the service with FORFEITURE of all benefits and privileges, excluding earned leave credits, if any, with PREJUDICE to re-¬≠employment in any branch or agency of the government, including government-owned and controlled corporations. Her Civil Service Eligibility is CANCELLED and she is BARRED from taking any future civil service examination.This Decision is without prejudice to the filing of any criminal and/or civil case/s against respondent. Let a copy of this Decision be attached to her records with this Court and furnished the Civil Service Commission.SO ORDERED. Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated June 24, 2023."," Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated June 24, 2023.",OL,C,C,C,C,C,C,C,C,C,C,C,C,C,
A.C. No. 13035,"ATTY. PABLO B. FRANCISCO, COMPLAINANT, VS. ATTY. MA. VICTORIA SU√ëEGA-LAGMAN, RESPONDENT.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69121,EN BANC,ZALAMEDA,"ACCORDINGLY, the present administrative complaint against Atty. Ma. Victoria Su√±ega-Lagman is DISMISSED for lack of merit. Nevertheless, let a copy of the Complaint and this Decision be furnished to the Internal Affairs Unit of the Department of Justice for its appropriate action.SO ORDERED. Leonen,** SAJ. (Acting C.J.), Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated 24 June 2023. "," Leonen,** SAJ. (Acting C.J.), Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated 24 June 2023. ",OL,C,C,C,C,C,C,P,C,C,C,C,C,C,C
G.R. No. 240517,"CIVIL SERVICE COMMISSION AND PAQUITO N. OCHOA, JR., EXECUTIVE SECRETARY, PETITIONERS, VS. JERIK RODERICK V. JACOBA, RESPONDENT.  [G.R. No. 240688]  JERIK RODERICK V. JACOBA,  PETITIONER, VS. CIVIL SERVICE COMMISSION AND PAQUITO N. OCHOA, JR., EXECUTIVE SECRETARY, RESPONDENTS.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69152,EN BANC,LEONEN,"Accordingly, the April 15, 2014 Decision in Case No. 140265 and January 20, 2015 Resolution in Case No. 1500071 of the Civil Service Commission are REINSTATED.Jerik Roderick V. Jacoba is hereby found GUILTY of grave misconduct and serious dishonesty and the penalty of dismissal from government service with the accessory penalties of forfeiture of all retirement benefits (except terminal leave benefits and personal contributions to the GSIS, if any); perpetual disqualification from re¬≠employment in the government service; cancellation of civil service eligibility; and bar from taking the civil service examinations are imposed on him.SO ORDERED. Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Per Special Order No. 2989 dated June 24, 2023."," Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave.** Per Special Order No. 2989 dated June 24, 2023.",OL,P,C,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 246126,"PATRICIA MARIE I. RANADA, MARA ALYSSABEL D. CEPEDA, RAYMON G. DULLANA, FRANKLIN Y. CIMATU, MAURICIO E. VICTA, CAMILLE KRISTINA S. ELEMIA, RALPH MARTIN S. RIVAS, BALTAZAR ESPINOSA LAGSA AND RAPPLER, INC., PETITIONERS,   DR. FLORANGEL BRAID, MELINDA QUINTOS DE JESUS, CERES DOYO, JOHN NERY, SOLITA MONSOD, MA. SALVACION ""INDAY"" VARONA, MARLON RAMOS, VERGEL SANTOS, LOURD ERNEST DE VEYRA, JOSELITO DELOS REYES, MURIEL ""TWINK"" MACARAIG, NIKOLETTE KRISTINE NONNA ""NIKKO"" DIZON, AND OTHER JOURNALISTS AND MEDIA PRACTITIONERS LISTED IN ANNEX A, PETITIONERS-IN-INTERVENTION,   BARTHOLOME T. GUINGONA, ANA THERESA P. SANTOS, MICHELLE D.L. ABAD, JOSE FRANCISCO M. LUNA, MIKAELA ANDREA R. GARCIA, MERINETTE A. RETONA, JENNINA MARIE M. MORA, RANEZA E. PINLAC, ANDREW DANIEL H. MENCILAS, GILLIAN N. VILLANUEVA, PHOEBE C. SALVADOR, SHERWIN G. DE VERA, ANGELO A.M. SILVA, ARMIN REY P. ADINA, ODINA E. BATNAG, MA. ANNA MARGARITA V. BUENO, ANGEL S. AVERIA, JR., MARIA LOURDES M. JIMENEZ, EDNA O. AQUINO, ANTONIO TIAMSON, NOEMI L. DADO, MARIA LORETO P. ROCES, AND MARLON ANTHONY TONSON, PETITIONERS-IN-INTERVENTION,   PAGBABAGO@PILIPINAS FOUNDATION, INC., PETITIONER-IN-INTERVENTION, VS. OFFICE OF THE PRESIDENT, OFFICE OF THE EXECUTIVE SECRETARY, PRESIDENTIAL COMMUNICATIONS OPERATIONS OFFICE, MEDIA ACCREDITATION REGISTRATION OFFICE, AND PRESIDENTIAL SECURITY GROUP, RESPONDENTS.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69198,EN BANC,SINGH,"WHEREFORE, the Petition for Certiorari and Prohibition as well as the Petitions-in-Intervention are DISMISSED on the ground of mootness.SO ORDERED. Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Gesmundo,* C.J., on official leave.Leonen,** Acting C.J., I dissent. See separate opinion.Lazaro-Javier, J., I join SAJ. Leonen's dissent.* On official leave.** Leonen, S.A.J., designated as Acting Chief Justice per Special Order No. 2990, dated June 24, 2023."," Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Gesmundo,* C.J., on official leave.Leonen,** Acting C.J., I dissent. See separate opinion.Lazaro-Javier, J., I join SAJ. Leonen's dissent.* On official leave.** Leonen, S.A.J., designated as Acting Chief Justice per Special Order No. 2990, dated June 24, 2023.",OL,D,C,C,D,C,C,C,C,C,C,C,C,C,P
G.R. No. 182734,"BAYAN MUNA PARTY-LIST REPRESENTATIVES SATUR C. OCAMPO AND TEODORO A. CASI√ëO, ANAKPAWIS REPRESENTATIVE CRISPIN B. BELTRAN, GABRIELA WOMEN'S PARTY REPRESENTATIVES LIZA L. MAZA AND LUZVIMINDA C. ILAGAN, REP. LORENZO R. TA√ëADA III, AND REP. TEOFISTO L. GUINGONA III, PETITIONERS, VS. PRESIDENT GLORIA MACAPAGAL-¬≠ARROYO,[1] EXECUTIVE SECRETARY EDUARDO R. ERMITA, SECRETARY OF THE DEPARTMENT OF FOREIGN AFFAIRS, SECRETARY OF THE DEPARTMENT OF ENERGY, PHILIPPINE NATIONAL OIL COMPANY, AND PHILIPPINE NATIONAL OIL COMPANY EXPLORATION CORPORATION, RESPONDENTS.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69215,EN BANC,GAERLAN,"WHEREFORE, the motion is DENIED with FINALITY. The Decision dated January 10, 2023 declaring the Tripartite Agreement for Joint Marine Seismic Undertaking in the Agreement Area in the South China Sea By and Among China National Offshore Oil Corporation and Vietnam Oil and Gas Corporation and Philippine National Oil Company unconstitutional and void is AFFIRMED.SO ORDERED. Caguioa, Hernando, Inting, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo*, C.J., On Official Leave.Leonen**, Acting C.J., I maintain my concurrence, see separate opinion.Lazaro-Javier, and Zalameda JJ., I maintain my dissent.* On official leave.** Per Special Order No. 2989 dated June 24, 2023."," Caguioa, Hernando, Inting, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Gesmundo*, C.J., On Official Leave.Leonen**, Acting C.J., I maintain my concurrence, see separate opinion.Lazaro-Javier, and Zalameda JJ., I maintain my dissent.* On official leave.** Per Special Order No. 2989 dated June 24, 2023.",OL,C,C,C,D,C,C,D,P,,C,C,C,C,C
A.M. No. P-14-3244 [Formerly AM No. 14-6-71-MCTC]*,"OFFICE OF THE COURT ADMINISTRATOR, COMPLAINANT, VS. MS. FE R. ARCEGA, CLERK OF COURT II, MUNICIPAL CIRCUIT TRIAL COURT, MONCADA-SAN MANUEL-ANAO, TARLAC, RESPONDENT.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69247,EN BANC,PER CURIAM:,"Accordingly, the Court DISMISSES her from the service with forfeiture of all retirement benefits, excluding her earned leave credits, with prejudice to her re-employment in the government, including government-owned or -controlled corporations.The Court DIRECTS: (1) the Employees Leave Division, Office of Administrative Services, Office of the Court Administrator, to DETERMINE the balance of respondent's earned leave credits; and (2) the Finance Division, Fiscal Management Office, Office of the Court Administrator, to COMPUTE and PROCESS the monetary value of her withheld salaries and earned leave credits, dispensing with the usual documentary requirements, and APPLY the amount thereof to her total accountability as listed below. The remaining balance, if any, shall be released to respondent subject to the usual clearances and other documentary requirements. FundBALANCE OF ACCOUNTABILITYPeriod Covered1 March 2008 to 28 February 2014Fiduciary Fund 349,575.00Sheriff's Trust Fund8,400.00Judiciary Development Fund39,716.00Special Allow. for the Judiciary Fund138,397.20Mediation Fund500.00Total Unearned Interest due to Delayed Deposits81,946.31TOTAL ACCOUNTABILITYP618,534.51The Court ORDERS respondent to restitute any remaining shortages in case the monetary value of her earned leave credits and/or other benefits is not sufficient to cover her total accountability.Furthermore, the Court DIRECTS the Legal Office, Office of the Court Administrator to file with dispatch the appropriate criminal charges against respondent in relation to her transgressions in the case.Finally, the Court DIRECTS: (1) the Officer-in-Charge of the Municipal Circuit Trial Court, Moncada-San Manuel-Anao, Tarlac to STRICTLY MONITOR the disbursements of the court's cash bonds and Sheriff's Trust Fund, and if found to be undeposited during the period of accountability of respondent, the amount should be taken directly from her and not from the bank deposits of each fund account; and (2) the Presiding Judge of Municipal Circuit Trial Court, Moncada-¬≠San Manuel-Anao, Tarlac to MONITOR the financial transactions of the court in strict adherence to all applicable Supreme Court issuances thereto on the proper handling of all Judiciary funds. Otherwise, he or she shall be held equally liable for the same infractions of the employees under his or her supervision.SO ORDERED. Leonen,*** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Gesmundo,** C.J., on official leave.Marquez,**** J., no part.* Entitled: ""Re: Financial Report on the Audit conducted at the Municipal Circuit Trial Court, Moncada-San Manuel-Anao, Tarlac.""** On official leave.*** Per Special Order No. 2989 dated June 2, 2021.**** Took no part."," Leonen,*** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Gesmundo,** C.J., on official leave.Marquez,**** J., no part.* Entitled: ""Re: Financial Report on the Audit conducted at the Municipal Circuit Trial Court, Moncada-San Manuel-Anao, Tarlac.""** On official leave.*** Per Special Order No. 2989 dated June 2, 2021.**** Took no part.",OL,C,C,C,C,C,C,C,C,C,C,C,NP,C,C
G.R. Nos. 256060-61,"PORO EXIM CORPORATION, REPRESENTED BY JAIME VICENTE, PETITIONER, VS. OFFICE OF THE OMBUDSMAN AND FELIX S. RACADIO, RESPONDENTS.",6/27/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69322,EN BANC,KHO,"ACCORDINGLY, the Petition is GRANTED. The Ombudsman's Joint Resolution dated April 2, 2018 and the Joint Order dated April 5, 2019 in OMB-L-C-17-0487 and OMB-L-A-17-0532 are ANNULLED and SET ASIDE. As such, OMB-L-C-17-0487 and OMB-L-A-17-0532 are hereby REINSTATED and REMANDED to the Office of the Ombudsman for resolution on the merits, WITH DISPATCH. SO ORDERED. Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur. Gesmundo,* C.J., on official leave. * On Official Leave. ** Per Special Order No. 2989 dated June 24, 2023. "," Leonen,** Acting C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur. Gesmundo,* C.J., on official leave. * On Official Leave. ** Per Special Order No. 2989 dated June 24, 2023. ",OL,C,C,C,C,C,C,C,C,C,C,C,C,P,C
G.R. No. 230200,"ANTONIO BACLIG,[1] PETITIONER, VS. THE RURAL BANK OF CABUGAO, INC.,[2] FLORANTE R. RIGUNAY, MIGUEL A. FRANDO AND THE REGISTER OF DEEDS OF ILOCOS SUR,[3] RESPONDENTS.",7/3/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68905,FIRST DIVISION,HERNANDO,"Accordingly, the auction sale covering the subject property and the consequent Certificate of Sale, Affidavit of Consolidation of Ownership, Deed of Sale, and Tax Declaration Nos. 23-020518 and 23-020519 are declared NULL and VOID. No cost.SO ORDERED. Zalameda, Rosario, and Marquez, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave. ** Per Special Order No. 2998 dated July 3, 2023. "," Zalameda, Rosario, and Marquez, JJ., concur.Gesmundo,* C.J., on official leave.* On official leave. ** Per Special Order No. 2998 dated July 3, 2023. ",OL,,,P,,,,C,,C,,,C,,
G.R. No. 243604,"BLOOMBERRY RESORTS AND HOTELS, INC., PETITIONER, VS. JOSEDELIO ELIZ MENESES ASISTIO AND ANTHONY NOVENO CLAVITO, RESPONDENTS.",7/3/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68906,FIRST DIVISION,HERNANDO,"WHEREFORE, the petition is DENIED. The Resolutions dated July 13, 2018 and November 28, 2018, of the Court of Appeals in CA-G.R. SP No. 152867 are AFFIRMED IN TOTO.SO ORDERED. Zalameda, Rosario, and Marquez, JJ., concur.Gesmundo, C.J.*, on official leave.* On official leave. ** Per Special Order No. 2998 dated July 3, 2023. "," Zalameda, Rosario, and Marquez, JJ., concur.Gesmundo, C.J.*, on official leave.* On official leave. ** Per Special Order No. 2998 dated July 3, 2023. ",OL,,,P,,,,C,,C,,,C,,
A.M. No. MTJ-24-024 (Formerly OCA IPI No. 20-3132-MTJ),"ATTY. JOSELITO M. BAETIONG, COMPLAINANT, VS. PRESIDING JUDGE JO ANNE N. DELA CRUZ-MALATON, MUNICIPAL CIRCUIT TRIAL COURT, CASIGURAN-DILASAG-DINALUNGAN, AURORA, RESPONDENT.",7/3/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69415,SECOND DIVISION,KHO,"ACCORDINGLY, the Court finds respondent Presiding Judge Jo Anne N. Dela Cruz-Malaton of the Municipal Circuit Trial Court of Casiguran-Dilasag-Dinalungan, Aurora GUILTY of gross ignorance of the law and procedure and is hereby FINED in the amount of PHP 50,000.00 payable in accordance with Section 22 of Rule 140 of the Rules of Court, as further amended, with a STERN WARNING that a repetition of the same or similar offense shall be dealt with more severely.The Court further resolves to:REDOCKET as a regular administrative matter the complaint against Presiding Judge Jo Anne N. Dela Cruz-Malaton of the Municipal Circuit Trial Court of Casiguran-Dilasag-Dinalungan, Aurora;ORDER complainant Atty. Joselito M. Baetiong to SHOW CAUSE within 10 days from notice why he should not be held administratively liable for abusing court processes and making malicious imputations of crime.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, (Working Chairperson),* and M. Lopez, JJ., concur.J. Lopez,** J., on leave.* Per Special Order No. 2993 dated June 26, 2023.** On leave."," Leonen, SAJ. (Chairperson), Lazaro-Javier, (Working Chairperson),* and M. Lopez, JJ., concur.J. Lopez,** J., on leave.* Per Special Order No. 2993 dated June 26, 2023.** On leave.",,C,,,C,C,,,,,OL,,,P,
G.R. No. 217862,"CAMILO L. SABIO, PETITIONER, VS. ALAIN BAGUISI, MA. KRISTINA C. PONTI,******* AND LEANDER P. MARQUEZ, RESPONDENTS.",7/4/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69088,EN BANC,PER CURIAM:,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The March 31, 2015 Decision of the Court of Appeals in CA-G.R. SP No. 123202 is AFFIRMED. Petitioner Camilo L. Sabio is ADMINISTRATIVELY LIABLE for Grave Misconduct and Conduct Prejudicial to the Best Interest of the Service. Considering that he is not anymore employed in the government and can no longer be dismissed, the penalties accessory to dismissal from service imposable upon petitioner Camilo L. Sabio shall be recorded in his 201 File in the Civil Service Commission: his civil service eligibility is CANCELLED; his retirement benefits are FORFEITED, except accrued leave credits; he is PERPETUALLY DISQUALIFIED from re-employment in any branch or instrumentality of the government, including any government-owned or controlled corporations; and PERPETUALLY BARRED from taking the civil service examinations. SO ORDERED. Leonen,** SAJ., Caguioa, Hernando, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, and Kho, Jr., JJ., concur. Gesmundo,* C.J., no part and on official leave. Lazaro-Javier*** and Zalameda,**** JJ., no part. J. Lopez,***** J., on leave. Singh,****** J., on official leave. * No part and on official leave. ** Acting Chief Justice per Special Order No. 2989 dated June 24, 2023. *** No part. **** No part. With prior participation in the Court of Appeals. ***** On leave. ****** On official leave. ******* Also referred to as ""Conti"" in some parts of the rollo. "," Leonen,** SAJ., Caguioa, Hernando, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, and Kho, Jr., JJ., concur. Gesmundo,* C.J., no part and on official leave. Lazaro-Javier*** and Zalameda,**** JJ., no part. J. Lopez,***** J., on leave. Singh,****** J., on official leave. * No part and on official leave. ** Acting Chief Justice per Special Order No. 2989 dated June 24, 2023. *** No part. **** No part. With prior participation in the Court of Appeals. ***** On leave. ****** On official leave. ******* Also referred to as ""Conti"" in some parts of the rollo. ",NP,C,C,C,NP,C,C,NP,C,C,NP,C,C,C,OL
G.R. No. 254753,"SIEGFRED D. DEDURO, PETITIONER, VS. MAJ. GEN. ERIC C. VINOYA, IN HIS CAPACITY AS COMMANDING OFFICER OF THE 3RD INFANTRY DIVISION, PHILIPPINE ARMY, RESPONDENT.",7/4/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69362,EN BANC,ZALAMEDA,"WHEREFORE, the Petition is PARTIALLY GRANTED. The assailed Order dated 26 October 2020 of Branch 24, Regional Trial Court (RTC) of Iloilo City in Spl. Proc. No. 20-14628, is hereby REVERSED and SET ASIDE.A writ of amparo is ISSUED in favor of petitioner SIEGFRED D. DEDURO returnable to the RTC. Said writ shall be issued against respondent Maj. Gen. Eric C. Vinoya, in his capacity as Commanding Officer of the 3rd Infantry Division, Philippine Army, or his replacement in his official post if he has already vacated the same.Petitioner is ORDERED to submit to the RTC within three (3) days from notice of this Decision a Supplemental Petition impleading the Alliance of Victims of the CPP-NPA-NDF and the Western Visayas Alliance of Victims of the CPP-NPA-NDF, or persons acting on their behalf.All respondents are hereby ORDERED to make a verified RETURN with the RTC within seventy-two (72) hours from receipt of the writ.The RTC is REQUIRED to conduct a summary hearing on the Petition and the interim relief of Production Order within ten (10) days from receipt of this Decision. After hearing, the RTC shall DECIDE the case within ten (10) days from the time it is submitted for decision. It is further ordered to FURNISH this Court with a copy of the decision within five (5) days from its promulgation.SO ORDERED. Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Gesmundo,* C.J., on official leave.Leonen,** SAJ., see separate opinion.J. Lopez,*** J., on leave.Singh,**** J., on official leave but left her vote.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated 24 June 2023.*** On leave.**** On official leave, but left her vote."," Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Gesmundo,* C.J., on official leave.Leonen,** SAJ., see separate opinion.J. Lopez,*** J., on leave.Singh,**** J., on official leave but left her vote.* On official leave.** Acting Chief Justice per Special Order No. 2989 dated 24 June 2023.*** On leave.**** On official leave, but left her vote.",OL,C,C,C,C,C,C,P,C,C,OL,C,C,C,OL
G.R. No. 230391,"JULIETTE GOMEZ ROMUALDEZ, PETITIONER, VS. THE COURT OF APPEALS (16TH DIVISION), FIRST PHILIPPINE HOLDINGS CORPORATION AND PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT, RESPONDENTS.  [G.R. No. 250746]   JULIETTE GOMEZ ROMUALDEZ, PETITIONER, VS. FIRST PHILIPPINE HOLDINGS CORPORATION AND PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT, RESPONDENTS.",7/5/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68995,FIRST DIVISION,ZALAMEDA,"Accordingly, the Order dated 27 April 2015 and Omnibus Order dated 21 September 2015, issued by Branch 137, Regional Trial Court of Makati City, in Spec. Pro. Case No. M-7588, are VACATED and SET ASIDE. The Petition for perpetuation of testimony of petitioner Juliette Gomez Romualdez is DENIED.SO ORDERED. Hernando, (Acting Chairperson), Lazaro-Javier,* Marquez, and Kho,** Jr., JJ., concur.* Gesmundo, C.J., with prior participation; Lazaro-Javier, J. designated additional Member per Raffle dated 03 February 2020.** Rosario, J., no part; Kho, J., designated additional Member per Raffle dated 28 December 2022."," Hernando, (Acting Chairperson), Lazaro-Javier,* Marquez, and Kho,** Jr., JJ., concur.* Gesmundo, C.J., with prior participation; Lazaro-Javier, J. designated additional Member per Raffle dated 03 February 2020.** Rosario, J., no part; Kho, J., designated additional Member per Raffle dated 28 December 2022.",,,,C,C,,,P,,,,,C,C,
G.R. No. 244202,"MANNASOFT TECHNOLOGY CORPORATION, PETITIONER, VS. COMMISSIONER OF INTERNAL REVENUE, RESPONDENT.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69086,THIRD DIVISION,DIMAAMPAO,"accordingly CANCELLED. SO ORDERED. Caguioa (Chairperson), Inting, Gaerlan, and Singh, JJ., concur. "," Caguioa (Chairperson), Inting, Gaerlan, and Singh, JJ., concur. ",,,C,,,,C,,C,,,P,,,C
G.R. No. 233127,"INTEGRATED CREDIT AND CORPORATE SERVICES, CO., PETITIONER, VS. NOVELITA LABRADOR AND PHILIPPIANS ACADEMY OF PARA√ëAQUE CITY, RESPONDENTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68990,FIRST DIVISION,GESMUNDO,"WHEREFORE, the petition is GRANTED. The February 15, 2017 Decision and the August 2, 2017 Resolution of the Court of Appeals in CA¬≠G.R. CV No. 100060 are REVERSED and SET ASIDE. The Regional Trial Court of Para√±aque City, Branch 196 and its Sheriff are ORDERED to ISSUE and PROCEED with the implementation of the Ex Parte Writ of Possession in favor of petitioner Integrated Credit and Corporate Services, Co.SO ORDERED. Hernando, Zalameda, Rosario, and Marquez, JJ., concur."," Hernando, Zalameda, Rosario, and Marquez, JJ., concur.",P,,,C,,,,C,,C,,,C,,
G.R. No. 253531,"ELIZABETH VIDAL-PLUCENA, PETITIONER, VS. HON. FLAVIANO BALGOS, JR., HARVEY GLENN VALENCIA, AND MRS. FRANSON VALENCIA, RESPONDENTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69021,THIRD DIVISION,SINGH,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The Orders, dated March 9, 2020, and July 20, 2020, of the Regional Trial Court, in Civil Case No. 1409, are AFFIRMED. SO ORDERED. Caguioa (Chairperson), Inting, Gaerlan, and Dimaampao, JJ., concur. "," Caguioa (Chairperson), Inting, Gaerlan, and Dimaampao, JJ., concur. ",,,C,,,,C,,C,,,C,,,P
G.R. No. 261065,"COMMISSIONER OF INTERNAL REVENUE, PETITIONER, VS. MAXICARE HEALTHCARE CORPORATION, RESPONDENT.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69024,THIRD DIVISION,SINGH,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The Decision of the Court of Tax Appeals En Banc, dated November 25, 2021, and its Resolution, dated April 26, 2022, both in CTA EB No. 2325 (CTA Case No. 9246), are AFFIRMED. SO ORDERED. Caguioa (Chairperson), Inting, Gaerlan, and Dimaampao, JJ., concur. "," Caguioa (Chairperson), Inting, Gaerlan, and Dimaampao, JJ., concur. ",,,C,,,,C,,C,,,C,,,P
